item_id,verb,arm,predicted,marked1,marked2
coerced-cm-sneeze,sneeze,coerced-cm,low,She «sneezed».,She «sneezed» the napkin off the table.
control-sneeze,sneeze,control-elab,high,She «sneezed».,She «sneezed» twice during the lecture.
coerced-cm-cough,cough,coerced-cm,low,He «coughed».,He «coughed» the crumb across the table.
control-cough,cough,control-elab,high,He «coughed».,He «coughed» quietly into his sleeve.
coerced-cm-blow,blow,coerced-cm,low,She «blew» softly.,She «blew» the dust off the shelf.
control-blow,blow,control-elab,high,She «blew» softly.,She «blew» gently on her hot tea.
coerced-cm-puff,puff,coerced-cm,low,He «puffed».,He «puffed» the feather off his palm.
control-puff,puff,control-elab,high,He «puffed».,He «puffed» slowly on his pipe.
coerced-cm-huff,huff,coerced-cm,low,She «huffed».,She «huffed» the wrapper off the tray.
control-huff,huff,control-elab,high,She «huffed».,She «huffed» in obvious frustration.
coerced-cm-fan,fan,coerced-cm,low,He «fanned» himself.,He «fanned» the smoke out of the room.
control-fan,fan,control-elab,high,He «fanned» himself.,He «fanned» himself in the summer heat.
coerced-way-whistle,whistle,coerced-way,low,She «whistled».,She «whistled» her way down the hall.
control-whistle,whistle,control-elab,high,She «whistled».,She «whistled» a cheerful little tune.
coerced-way-sing,sing,coerced-way,low,He «sang».,He «sang» his way through the crowd.
control-sing,sing,control-elab,high,He «sang».,He «sang» a quiet evening lullaby.
coerced-way-dance,dance,coerced-way,low,She «danced».,She «danced» her way across the stage.
control-dance,dance,control-elab,high,She «danced».,She «danced» gracefully all evening long.
coerced-way-joke,joke,coerced-way,low,He «joked».,He «joked» his way out of trouble.
control-joke,joke,control-elab,high,He «joked».,He «joked» with his old friends.
coerced-way-smile,smile,coerced-way,low,She «smiled».,She «smiled» her way into the job.
control-smile,smile,control-elab,high,She «smiled».,She «smiled» warmly at the arriving guests.
coerced-way-bluff,bluff,coerced-way,low,He «bluffed».,He «bluffed» his way past the guard.
control-bluff,bluff,control-elab,high,He «bluffed».,He «bluffed» during the late card game.
poly-run,run,polysemy-anchor,low,She «ran» a marathon.,She «ran» a successful company.
poly-draw,draw,polysemy-anchor,low,He «drew» a quick picture.,He «drew» his sword from its sheath.
poly-charge,charge,polysemy-anchor,low,The cavalry «charged» the hill.,The shop «charged» a small fee.
poly-break,break,polysemy-anchor,low,He «broke» the window.,He «broke» for lunch at noon.
poly-set,set,polysemy-anchor,low,She «set» the dinner table.,The sun «set» behind the hills.
poly-bank,bank,polysemy-anchor,low,The plane «banked» sharply left.,She «banked» the cheque at noon.
